Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,2476.960000,2519.490000,2467.470000,2510.030000,2510.030000,3733160000
1/3/2019,2491.920000,2493.140000,2443.960000,2447.890000,2447.890000,3822860000
1/4/2019,2474.330000,2538.070000,2474.330000,2531.940000,2531.940000,4213410000
1/7/2019,2535.610000,2566.160000,2524.560000,2549.690000,2549.690000,4104710000
1/8/2019,2568.110000,2579.820000,2547.560000,2574.410000,2574.410000,4083030000
1/9/2019,2580.000000,2595.320000,2568.890000,2584.960000,2584.960000,4052480000
1/10/2019,2573.510000,2597.820000,2562.020000,2596.640000,2596.640000,3704500000
1/11/2019,2588.110000,2596.270000,2577.400000,2596.260000,2596.260000,3434490000
1/14/2019,2580.310000,2589.320000,2570.410000,2582.610000,2582.610000,3664450000
1/15/2019,2585.100000,2613.080000,2585.100000,2610.300000,2610.300000,3572330000
1/16/2019,2614.750000,2625.760000,2612.680000,2616.100000,2616.100000,3863770000
1/17/2019,2609.280000,2645.060000,2606.360000,2635.960000,2635.960000,3772270000
1/18/2019,2651.270000,2675.470000,2647.580000,2670.710000,2670.710000,3986730000
1/22/2019,2657.880000,2657.880000,2617.270000,2632.900000,2632.900000,3908030000
1/23/2019,2643.480000,2653.190000,2612.860000,2638.700000,2638.700000,3335610000
1/24/2019,2638.840000,2647.200000,2627.010000,2642.330000,2642.330000,3433250000
1/25/2019,2657.440000,2672.380000,2657.330000,2664.760000,2664.760000,3814080000
1/28/2019,2644.970000,2644.970000,2624.060000,2643.850000,2643.850000,3612810000
1/29/2019,2644.890000,2650.930000,2631.050000,2640.000000,2640.000000,3504200000
1/30/2019,2653.620000,2690.440000,2648.340000,2681.050000,2681.050000,3867810000
1/31/2019,2685.490000,2708.950000,2678.650000,2704.100000,2704.100000,4917650000
2/1/2019,2702.320000,2716.660000,2696.880000,2706.530000,2706.530000,3759270000
2/4/2019,2706.490000,2724.990000,2698.750000,2724.870000,2724.870000,3359840000
2/5/2019,2728.340000,2738.980000,2724.030000,2737.700000,2737.700000,3560430000
2/6/2019,2735.050000,2738.080000,2724.150000,2731.610000,2731.610000,3472690000
2/7/2019,2717.530000,2719.320000,2687.260000,2706.050000,2706.050000,4099490000
2/8/2019,2692.360000,2708.070000,2681.830000,2707.880000,2707.880000,3622330000
2/11/2019,2712.400000,2718.050000,2703.790000,2709.800000,2709.800000,3361970000
2/12/2019,2722.610000,2748.190000,2722.610000,2744.730000,2744.730000,3827770000
2/13/2019,2750.300000,2761.850000,2748.630000,2753.030000,2753.030000,3670770000
2/14/2019,2743.500000,2757.900000,2731.230000,2745.730000,2745.730000,3836700000
2/15/2019,2760.240000,2775.660000,2760.240000,2775.600000,2775.600000,3641370000
2/19/2019,2769.280000,2787.330000,2767.290000,2779.760000,2779.760000,3533710000
2/20/2019,2779.050000,2789.880000,2774.060000,2784.700000,2784.700000,3835450000
2/21/2019,2780.240000,2781.580000,2764.550000,2774.880000,2774.880000,3559710000
2/22/2019,2780.670000,2794.200000,2779.110000,2792.670000,2792.670000,3427810000
2/25/2019,2804.350000,2813.490000,2794.990000,2796.110000,2796.110000,3804380000
2/26/2019,2792.360000,2803.120000,2789.470000,2793.900000,2793.900000,3645680000
2/27/2019,2787.500000,2795.760000,2775.130000,2792.380000,2792.380000,3767130000
2/28/2019,2788.110000,2793.730000,2782.510000,2784.490000,2784.490000,4396930000
3/1/2019,2798.220000,2808.020000,2787.380000,2803.690000,2803.690000,3972280000
3/4/2019,2814.370000,2816.880000,2767.660000,2792.810000,2792.810000,3919810000
3/5/2019,2794.410000,2796.440000,2782.970000,2789.650000,2789.650000,3585690000
3/6/2019,2790.270000,2790.270000,2768.690000,2771.450000,2771.450000,3786600000
3/7/2019,2766.530000,2767.250000,2739.090000,2748.930000,2748.930000,3904860000
